"drug","effect","mg_kg_d"
"tiagabine","athenia",0.424966799468792
"tiagabine","depression",0.424966799468792
"tiagabine","dizziness",0.424966799468792
"tiagabine","nervousness",0.424966799468792
"tiagabine","thinking abnormal",0.424966799468792
"tiagabine","tremor",0.424966799468792
"ticagrelor","bleeding",1.46341463414634
"ticagrelor","dyspnea",1.46341463414634
"ticagrelor","ecchymosis",1.46341463414634
"ticagrelor","bleeding",2.19512195121951
"ticagrelor","dyspnea",2.19512195121951
"ticagrelor","ecchymosis",2.19512195121951
"ticagrelor","epistaxis",2.19512195121951
"tofacitinib","infections and infestations",0.125
"tofacitinib","serum creatinine increase",0.125
"tofacitinib","cholesterol increase",0.125
"tofacitinib","triglycerides increase",0.125
"tofacitinib","decrease neutrophil",0.125
"tofacitinib","decrease lymphocyte",0.125
"tofacitinib","ALT increase",0.125
"tofacitinib","AST increase",0.125
"tofacitinib","ldl shifts",0.125
"tolterodine","dry mouth",0.05
"tolvaptan","nocturia",1.5
"tolvaptan","polyuria",1.5
"tolvaptan","thirst",1.5
"tolvaptan","dry mouth",1.5
"tolvaptan","pollakuria",1.5
"tolvaptan","liver enzyme increase cmq",1.5
"topiramate","blood urea nitrogen change",0.625
"topiramate","creatinine",0.625
"topiramate","somnolence",0.625
"topiramate","headache",0.625
"topiramate","dizziness",0.625
"topiramate","fatigue",0.625
"topiramate","allergy",0.625
"topiramate","leg pain",0.625
"topiramate","languange problems",0.625
"topiramate","coughing",0.625
"topiramate","rhinitis",0.625
"topiramate","sinusitis",0.625
"topiramate","upper respiratory tract infection",0.625
"topiramate","uri",0.625
"topiramate","injury",0.625
"topiramate","paresthesias",0.625
"topiramate","weight decrease",0.625
"topiramate","psychomotor slowing",0.625
"topiramate","anorexia",0.625
"topiramate","nervousness",0.625
"troglitazone","hypoglycemia",2.5
"troglitazone","flu-like syndrome",2.5
"troglitazone","headache",2.5
"troglitazone","back pain",2.5
"troglitazone","hypoglycemia",2.5
"troglitazone","cardiovascular events",2.5
"troglitazone","hdl cholesterol increase",2.5
"troglitazone","hypoglycemia",5
"troglitazone","accidental injury",5
"troglitazone","flu-like syndrome",5
"troglitazone","headache",5
"troglitazone","back pain",5
"troglitazone","pharyngitis",5
"troglitazone","depression",5
"troglitazone","hypoglycemia",5
"troglitazone"," cardiovascular events",5
"troglitazone","hdl cholesterol increase",5
"troglitazone","ldl cholesterol increase",5
"troglitazone","total cholesterol increase",5
"ulipristal","breast pain/tenderness/discomfort",0.125
"ulipristal","headache,",0.125
"valbenazine","somnolence",0.614250614250614
"valbenazine","arthralgia",0.614250614250614
"valbenazine","balance disorders/fall",0.614250614250614
"vandetanib","rash",3.75
"vandetanib","acne",3.75
"vandetanib","dry skin",3.75
"vandetanib","photosensitivity reaction",3.75
"vandetanib","erythema",3.75
"vandetanib","nail disorder",3.75
"vandetanib","skin hyperpigmentation",3.75
"vandetanib","diarrhea",3.75
"vandetanib","nausea",3.75
"vandetanib","hypertension",3.75
"vandetanib","headache",3.75
"vandetanib","decreased apetite",3.75
"vandetanib","abdominal pain",3.75
"vandetanib","vomiting",3.75
"vandetanib","ecg qt prolonged",3.75
"vandetanib","dyspepsia",3.75
"vandetanib","hypocalcaemia",3.75
"vandetanib","pruritis",3.75
"vandetanib","proteinuria",3.75
"vandetanib","depression",3.75
"vandetanib","calcium decrease",3.75
"vandetanib","ALT increase",3.75
"vandetanib","glucose decrease",3.75
"vandetanib","creatinine increase",3.75
"vandetanib","magnesium decrease",3.75
"vandetanib","neutrophils decrease",3.75
"vandetanib","platelets decrease",3.75
"vardenafil","headache",0.0625
"vardenafil","headache",0.25
"vardenafil","vasodilation",0.25
"vardenafil","rhinitis",0.25
"vardenafil","dyspepsia",0.25
"vardenafil","creatine kinase elevation",0.25
"varenicline","nausea and/or vomiting",0.0125
"varenicline","weight increase",0.0125
"varenicline","flatulence",0.0125
"varenicline","insomnia",0.0125
"varenicline","abnormal dreams",0.0125
"varenicline","dysgeusia",0.0125
"varenicline","headaches",0.0125
"varenicline","nausea and/or vomiting",0.025
"varenicline","nausea",0.025
"varenicline","constipation",0.025
"varenicline","weight increase",0.025
"varenicline","flatulence",0.025
"varenicline","insomnia",0.025
"varenicline","abnormal dreams",0.025
"varenicline","headaches",0.025
"vigabatrin","drowsiness",37.5
"vigabatrin","nystagmus",37.5
"vigabatrin","amnesia",37.5
"vigabatrin","fatigue",37.5
"vigabatrin","somnolence",37.5
"vigabatrin","dizziness",37.5
"vigabatrin","amnesia",37.5
"vigabatrin","low hematocrit",37.5
"vigabatrin","low wbc",37.5
"vigabatrin","low lymphocytes",37.5
"vigabatrin","weight increase",37.5
"vigabatrin","hemoglobin decrease",37.5
"vigabatrin","depression/psychotic depression",37.5
"vismodegib","dysgeusia",1.875
"vismodegib","muscle spasms",1.875
"vismodegib","alopecia",1.875
"vismodegib","nausea",1.875
"vismodegib","constipation",1.875
"vismodegib","abdominal pain",1.875
"vismodegib","decreased appetite",1.875
"vismodegib","abdominal pain upper",1.875
"vismodegib","vomiting",1.875
"vismodegib","weight decrease",1.875
"vismodegib","rash",1.875
"vismodegib","asthenia",1.875
"vismodegib","dry mouth",1.875
"vismodegib","dry mouth",1.875
"vorapaxar","no effects meet criteria",NA
"vortioxetine","nausea",0.0628535512256442
"vortioxetine","sexual dysfunction",0.124177325220415
"vortioxetine","nausea",0.124177325220415
"vortioxetine","sexual dysfunction",0.182615047479912
"vortioxetine","nausea",0.182615047479912
"vortioxetine","vomiting",0.182615047479912
"vortioxetine","total cholesterol",0.182615047479912
"zafirlukast","no effects meet criteria",NA
"zaleplon","headache",0.0625
"zaleplon","nervous system",0.0625
"zaleplon","amnesia",0.0625
"zaleplon","hypesthesia",0.0625
"zaleplon","constipation",0.0625
"zaleplon","eye disorder",0.0625
"zileuton","dyspepsia",32.7868852459016
"zileuton","insomnia",32.7868852459016
"zileuton","ggt elevation",32.7868852459016
"zileuton","ALT increase",32.7868852459016
"zileuton","AST increase",32.7868852459016
"ziprasidone","sudden unexpected death,somnolence",2.63157894736842
"ziprasidone","weight increase",2.63157894736842
"ziprasidone","qtc prolongation",2.63157894736842
"ziprasidone","triglyceride elevation",2.63157894736842
"zonisamide","stomach pain or irritation",5
"zonisamide","ataxia",5
"zonisamide","dysarthria",5
"zonisamide","irritability",5
"zonisamide","trouble concentrating",5
