effect,category,hazard_sys_norm,type,n_clinset1,n_clinset2,n_clinsetnon
discolored thyroid glands,NA,endocrine,nonclinical,NA,NA,5
discontinuation because of adverse reactions occurred,NA,no category,clinical,NA,1,NA
discontinuation rates due to adverse events,NA,no category,clinical,NA,2,NA
discontinuations due to adverse reactions,NA,no category,clinical,NA,1,NA
discontinuations for hepatic adverse events were,NA,hepatic,clinical,NA,NA,NA
discontinued because of adverse reactions,NA,no category,clinical,NA,NA,NA
disheveled coat,NA,nervous,nonclinical,NA,NA,28
distended cecum,NA,gastrointestinal,nonclinical,NA,NA,15
distended duodenum,NA,gastrointestinal,nonclinical,NA,NA,7
distended ileum,NA,gastrointestinal,nonclinical,NA,NA,6
distended jejunum,NA,gastrointestinal,nonclinical,NA,NA,10
distended proximal colon,NA,gastrointestinal,nonclinical,NA,NA,2
distended stomach,NA,gastrointestinal,nonclinical,NA,NA,18
distended urinary bladder,NA,renal,nonclinical,NA,NA,8
disturbance in attention,NA,nervous,clinical,1,1,NA
disturbances in initiating and maintaining sleep,NA,nervous,clinical,NA,NA,NA
dizziness,incidental,nervous,clinical,50,41,NA
dizziness (2),incidental,nervous,clinical,NA,NA,NA
dizziness (c),incidental,nervous,clinical,NA,NA,NA
dizziness and drowsiness,incidental,nervous,clinical,1,NA,NA
dizziness/vertigo,incidental,nervous,clinical,NA,NA,NA
dizziness * *,incidental,nervous,clinical,NA,1,NA
drooling,NA,gastrointestinal,clinical,NA,NA,NA
drowsiness,incidental,no category,clinical,3,NA,NA
dry eyes,incidental,ocular,clinical,NA,1,1
dry eyes,NA,ocular,nonclinical,NA,1,1
dry eyes nos,incidental,ocular,clinical,NA,1,NA
dry mouth,incidental,gastrointestinal,clinical,25,25,NA
dry skin,NA,dermal,clinical,7,3,6
dry skin,NA,dermal,nonclinical,7,3,6
dry skin §§,NA,dermal,clinical,NA,1,NA
dry skin/xeroderma,NA,dermal,clinical,NA,1,NA
dry throat,incidental,respiratory,clinical,1,1,NA
duct ectasia,NA,no category,nonclinical,NA,NA,1
duodenal atrophy,NA,gastrointestinal,nonclinical,NA,NA,1
duodenal mucosa,NA,gastrointestinal,nonclinical,NA,NA,1
duodenal ulcer,NA,gastrointestinal,nonclinical,NA,NA,3
duodenitis,NA,gastrointestinal,nonclinical,NA,NA,5
duodenum discoloration,NA,gastrointestinal,nonclinical,NA,NA,12
duodenum hypertrophy,NA,gastrointestinal,nonclinical,NA,NA,4
duodenum polyps,NA,gastrointestinal,nonclinical,NA,NA,4
dysarthria,NA,nervous,clinical,1,2,NA
dysgeusia,NA,nervous,clinical,5,7,NA
dysguesia,NA,nervous,clinical,1,NA,NA
dyskinesia,NA,dermal,clinical,NA,NA,NA
dysmenorrhea,NA,reproductive,clinical,NA,NA,NA
dysmenorrhea *,NA,reproductive,clinical,NA,NA,NA
dysmenorrhoea,NA,reproductive,clinical,NA,NA,NA
dysmetria,NA,nervous,clinical,NA,NA,NA
dyspepsia,incidental,gastrointestinal,clinical,15,15,NA
dyspepsia and gastritis,incidental,gastrointestinal,clinical,NA,1,NA
dyspepsia/constipation,incidental,gastrointestinal,clinical,3,NA,NA
dyspepsia/heartburn,incidental,gastrointestinal,clinical,1,NA,NA
dyspeptic sign and symptoms,incidental,gastrointestinal,clinical,NA,NA,NA
dyspeptic signs and symptoms,incidental,gastrointestinal,clinical,NA,1,NA
dysphagia,incidental,gastrointestinal,clinical,NA,NA,NA
dysphonia,incidental,respiratory,clinical,2,2,NA
dyspnea,incidental,respiratory,clinical,9,3,NA
dyspnea exacerbated,incidental,respiratory,clinical,NA,NA,NA
dyspnea/dyspnea exertional,incidental,respiratory,clinical,NA,1,NA
dyspnoea,incidental,respiratory,clinical,2,NA,NA
dystonia,NA,nervous,clinical,NA,NA,NA
dysuria,incidental,renal,clinical,1,1,NA
ear pain,incidental,otic,clinical,NA,NA,NA
early increases in creatinine ≥10%,NA,renal,clinical,NA,1,NA
ecchymosis,NA,dermal,clinical,3,NA,NA
ecg qt prolonge dþ,NA,cardiovascular,clinical,NA,1,NA
ecg qt prolonged,NA,cardiovascular,clinical,1,NA,NA
echinocytosis,NA,hematologic,nonclinical,NA,NA,2
ectasia,NA,no category,nonclinical,NA,NA,2
edema,incidental,no category,clinical,1,2,10
edema,NA,no category,nonclinical,1,2,10
edema legs,incidental,no category,clinical,NA,NA,NA
edema lower limb,incidental,no category,clinical,NA,NA,NA
edema of stomach,NA,gastrointestinal,nonclinical,NA,NA,15
edema peripheral,incidental,no category,clinical,4,3,NA
edema (general and peripheral),incidental,no category,clinical,NA,1,NA
edema nos,incidental,no category,clinical,NA,NA,NA
eeg abnormal,NA,cardiovascular,clinical,NA,NA,NA
ejaculation delayed 4,NA,reproductive,clinical,NA,1,NA
ejaculation disorder,NA,reproductive,clinical,1,NA,NA
"ejaculation disorder (2,3)",NA,reproductive,clinical,NA,1,NA
"ejaculation dysfunction 4,5",NA,reproductive,clinical,NA,1,NA
ejaculation failure,NA,reproductive,clinical,1,NA,NA
electrocardiogram qt prolonged,NA,cardiovascular,clinical,NA,1,NA
elevated aldolase level,NA,no category,nonclinical,NA,NA,2
elevated cholesterol,NA,metabolic,clinical,1,NA,NA
elevated cholesterol levels**,NA,metabolic,clinical,NA,2,NA
elevated cpk,NA,musculoskeletal,clinical,1,NA,NA
elevated cpk 1,NA,musculoskeletal,clinical,NA,NA,NA
elevated creatine kinase,NA,musculoskeletal,clinical,1,NA,NA
elevated hepatic transaminase,NA,hepatic,nonclinical,NA,NA,7
elevated lipase,NA,gastrointestinal,clinical,1,NA,NA
elevated triglycerides,NA,metabolic,clinical,1,NA,NA
elevated uric acid,NA,metabolic,clinical,1,NA,NA
elevated urine wbc,NA,hematologic,clinical,1,NA,NA
emotional lability,NA,nervous,clinical,NA,NA,NA
emotional liability,NA,nervous,clinical,NA,NA,NA
emphysema,NA,respiratory,nonclinical,NA,NA,2
endometrial stroma,NA,reproductive,nonclinical,NA,NA,1
endometrium hyperplasia,NA,reproductive,nonclinical,NA,NA,2
endometrium inflammation,NA,reproductive,nonclinical,NA,NA,1
enhanced skeletal muscle regeneration,NA,musculoskeletal,nonclinical,NA,NA,1
enlarged adrenal glands,NA,endocrine,nonclinical,NA,NA,55
enlarged axillary lymph nodes,NA,immune,nonclinical,NA,NA,1
enlarged cecum,NA,gastrointestinal,nonclinical,NA,NA,15
enlarged epididymides,NA,reproductive,nonclinical,NA,NA,2
enlarged harderian gland,NA,ocular,nonclinical,NA,NA,1
enlarged heart,NA,cardiovascular,nonclinical,NA,NA,1
enlarged kidney,NA,renal,nonclinical,NA,NA,29
enlarged liver,NA,hepatic,nonclinical,NA,NA,95
enlarged lung,NA,respiratory,nonclinical,NA,NA,2
enlarged lymph nodes,NA,immune,nonclinical,NA,NA,48
enlarged ovaries,NA,reproductive,nonclinical,NA,NA,7
enlarged pancreas,NA,endocrine,nonclinical,NA,NA,1
enlarged parathyroid gland,NA,endocrine,nonclinical,NA,NA,6
enlarged pituitary gland,NA,endocrine,nonclinical,NA,NA,8
enlarged salivary gland,NA,gastrointestinal,nonclinical,NA,NA,4
enlarged seminal vesicle,NA,reproductive,nonclinical,NA,NA,2
enlarged spleen,NA,immune,nonclinical,NA,NA,23
enlarged stomach,NA,gastrointestinal,nonclinical,NA,NA,20
enlarged testis,NA,reproductive,nonclinical,NA,NA,2
enlarged thymus,NA,immune,nonclinical,NA,NA,3
enlarged thyroid gland,NA,endocrine,nonclinical,NA,NA,19
enlarged urinary bladder,NA,renal,nonclinical,NA,NA,2
enlarged uterus,NA,reproductive,nonclinical,NA,NA,7
enlarged vagina,NA,reproductive,nonclinical,NA,NA,1
enterochromaffin-like cell,NA,no category,nonclinical,NA,NA,1
eosinophilia,NA,hematologic,clinical,4,NA,NA
eosinophilic liver infiltration,NA,hepatic,nonclinical,NA,NA,5
epidermal hyperplasia,NA,dermal,nonclinical,NA,NA,3
epidermal necrosis,NA,dermal,nonclinical,NA,NA,6
epididymal debris,NA,dermal,nonclinical,NA,NA,9
epididymal inflammation,NA,reproductive,nonclinical,NA,NA,8
epididymis degeneration,NA,reproductive,nonclinical,NA,NA,6
epididymis fibrosis,NA,reproductive,nonclinical,NA,NA,1
epididymis hypoplasia,NA,reproductive,nonclinical,NA,NA,2
epididymis; atrophy,NA,reproductive,nonclinical,NA,NA,8
epistaxis,incidental,no category,clinical,7,3,3
epistaxis,NA,no category,nonclinical,7,3,3
epithelial cell apoptotic process,NA,no category,nonclinical,NA,NA,1
epithelium regeneration,NA,no category,nonclinical,NA,NA,1
erectile dysfunction,NA,reproductive,clinical,NA,NA,NA
"erectile dysfunction 4,5",NA,reproductive,clinical,NA,1,NA
erosion lesion,NA,no category,nonclinical,NA,NA,5
erythema,incidental,dermal,clinical,1,1,NA
erythrocyte,NA,hematologic,nonclinical,NA,NA,1
erythrocytes in urine sediment,NA,hematologic,nonclinical,NA,NA,3
erythrophagocytosis,NA,hematologic,nonclinical,NA,NA,6
erythruria,NA,renal,nonclinical,NA,NA,1
esophageal erosions,NA,respiratory,nonclinical,NA,NA,1
esophageal inflammation,NA,respiratory,nonclinical,NA,NA,4
esophagus fibrosis,NA,respiratory,nonclinical,NA,NA,1
euphoria,NA,nervous,clinical,NA,NA,NA
euphoric mood,NA,nervous,clinical,NA,1,NA
excessive salivation,NA,gastrointestinal,clinical,NA,NA,NA
excessive sweating,NA,dermal,clinical,NA,1,NA
exophthalmos,NA,no category,nonclinical,NA,NA,9
expressive language disorder,NA,nervous,clinical,NA,NA,NA
extrahepatic bile duct,NA,hepatic,nonclinical,NA,NA,1
extramedullary hematopoiesis,NA,hematologic,nonclinical,NA,NA,58
extrapyramidal disorder,NA,nervous,clinical,1,NA,NA
extrapyramidal symptoms,NA,nervous,clinical,NA,4,NA
extrapyramidal symptoms (f),NA,nervous,clinical,NA,NA,NA
extrapyramidal symptoms *,NA,nervous,clinical,NA,1,NA
extrapyrimidal disorder,NA,nervous,clinical,1,NA,NA
extrasystoles,NA,cardiovascular,clinical,NA,NA,NA
eye abnormality,NA,ocular,clinical,NA,NA,NA
eye discharge,NA,ocular,nonclinical,NA,NA,18
eye discoloration,NA,ocular,nonclinical,NA,NA,6
eye disorder,NA,ocular,clinical,1,NA,NA
eye disorders vision blurred,NA,ocular,clinical,NA,1,NA
eye hemorrhage,NA,ocular,nonclinical,NA,NA,5
eye inflammation,NA,ocular,nonclinical,NA,NA,4
eye lesions,NA,ocular,nonclinical,NA,NA,4
eye opacity,NA,ocular,nonclinical,NA,NA,22
eye pain,incidental,ocular,clinical,NA,NA,NA
eyelids fail to open,NA,ocular,nonclinical,NA,NA,28
face edema,incidental,dermal,clinical,NA,NA,NA
facial edema,incidental,dermal,clinical,1,NA,NA
facial muscle spasm,NA,no category,nonclinical,NA,NA,4
fall,incidental,no category,clinical,NA,1,NA
falling down nos,incidental,no category,clinical,NA,NA,NA
falls,incidental,no category,clinical,1,1,NA
fasting total cholesterol,NA,metabolic,clinical,2,NA,NA
fasting triglyceride level,NA,metabolic,clinical,2,NA,NA
fatal hepatic failure,NA,hepatic,clinical,NA,NA,NA
fatigue,incidental,no category,clinical,38,23,NA
fatigue (e),incidental,no category,clinical,NA,NA,NA
fatigue (including asthenia),incidental,no category,clinical,NA,NA,NA
fatigue β,incidental,no category,clinical,NA,NA,NA
fatigue including asthenia,incidental,no category,clinical,NA,1,NA
fatigue or asthenia,incidental,no category,clinical,NA,NA,NA
fatigue/malaise,incidental,no category,clinical,NA,1,NA
fatigued,incidental,no category,clinical,NA,1,NA
fatty infiltration,NA,no category,nonclinical,NA,NA,6
fatty/oily stool,incidental,gastrointestinal,clinical,2,2,NA
fecal incontinence,incidental,gastrointestinal,clinical,NA,2,NA
fecal urgency,incidental,gastrointestinal,clinical,2,1,NA
feces occult blood,NA,gastrointestinal,nonclinical,NA,NA,3
feeling abnormal,incidental,no category,clinical,NA,NA,NA
feeling hot,incidental,no category,clinical,1,NA,NA
feeling jittery,incidental,no category,clinical,NA,2,NA
female genital mycotic infections,NA,immune,clinical,NA,2,NA
female genital mycotic infections (b),incidental,no category,clinical,NA,NA,NA
fever,incidental,no category,clinical,2,4,NA
"fever adverse event, n (%)",incidental,no category,clinical,NA,NA,NA
fibroadenoma of the mouse mammary gland,NA,no category,nonclinical,NA,NA,1
fibrosis,NA,respiratory,nonclinical,NA,NA,21
flatulence,incidental,gastrointestinal,clinical,7,6,NA
flatus with discharge,incidental,gastrointestinal,clinical,2,NA,NA
flatus with discharge,incidental,gastrointestinal,clinical,NA,2,NA
flu syndrome,incidental,no category,clinical,1,2,NA
fluid retention/edema,incidental,metabolic,clinical,1,NA,NA
fluid-filled abdomen,NA,no category,nonclinical,NA,NA,4
flu-like disorder,incidental,no category,clinical,NA,NA,NA
flu-like syndrome,incidental,no category,clinical,2,NA,NA
fluorescein staining of eye,NA,ocular,nonclinical,NA,NA,1
flushing,incidental,cardiovascular,clinical,6,2,2
flushing,NA,cardiovascular,nonclinical,6,2,2
foam cells,NA,no category,nonclinical,NA,NA,16
focal hepatic necrosis,NA,hepatic,nonclinical,NA,NA,111
focus,NA,no category,nonclinical,NA,NA,1
follicular cyst,NA,dermal,nonclinical,NA,NA,6
folliculitis,NA,dermal,clinical,NA,NA,4
folliculitis,NA,dermal,nonclinical,NA,NA,4
fractured denture,NA,dermal,nonclinical,NA,NA,1
fractures,NA,musculoskeletal,clinical,NA,1,NA
fractures (5),NA,musculoskeletal,clinical,NA,NA,NA
fragile teeth,NA,dermal,nonclinical,NA,NA,2
frequent bowel movements,NA,gastrointestinal,clinical,NA,1,NA
fungal dermatitis,incidental,dermal,clinical,NA,1,NA
gait abnormal,NA,nervous,clinical,NA,2,NA
gait disturbance,NA,nervous,clinical,NA,2,NA
gamma-glutamyltransferase decreased,NA,hepatic,nonclinical,NA,NA,3
gamma-glutamyltransferase increased,NA,hepatic,clinical,NA,NA,NA
gasping for breath,NA,no category,nonclinical,NA,NA,8
gastric cysts,NA,gastrointestinal,nonclinical,NA,NA,2
gastric erosion,NA,gastrointestinal,nonclinical,NA,NA,49
gastric gland atrophy,NA,gastrointestinal,nonclinical,NA,NA,11
gastric gland degeneration,NA,gastrointestinal,nonclinical,NA,NA,15
gastric gland hyperplasia,NA,gastrointestinal,nonclinical,NA,NA,8
gastric hypertrophy,NA,gastrointestinal,nonclinical,NA,NA,6
gastric metaplasia,NA,gastrointestinal,nonclinical,NA,NA,1
gastric necrosis,NA,gastrointestinal,nonclinical,NA,NA,11
gastric ulcer,NA,gastrointestinal,nonclinical,NA,NA,41
gastritis,NA,gastrointestinal,clinical,NA,NA,NA
gastroenteritis,NA,gastrointestinal,clinical,1,1,NA
"gastroenteritis, infectious",NA,gastrointestinal,clinical,NA,1,NA
gastro-enteropathy,NA,gastrointestinal,nonclinical,NA,NA,2
gastroesophageal reflux disease,incidental,gastrointestinal,clinical,3,1,NA
gastro-esophageal reflux disease,incidental,gastrointestinal,clinical,NA,1,NA
gastrointestinal discoloration,NA,gastrointestinal,nonclinical,NA,NA,52
gastrointestinal discomfort and pain,incidental,gastrointestinal,clinical,NA,1,NA
gastrointestinal disorders,NA,gastrointestinal,clinical,1,1,NA
gastrointestinal effects,NA,gastrointestinal,clinical,NA,NA,NA
gastrointestinal hemorrhage,NA,gastrointestinal,nonclinical,NA,NA,3
gastrointestinal inflammation,NA,gastrointestinal,nonclinical,NA,NA,9
gastrointestinal symptoms,NA,gastrointestinal,clinical,1,NA,NA
gastrointestinal toxicity,NA,gastrointestinal,clinical,NA,5,NA
gastrointestinal ulcer,NA,gastrointestinal,nonclinical,NA,NA,12
general disorders and administration site conditions,NA,no category,clinical,NA,1,NA
general disorders fatigue,NA,no category,clinical,NA,1,NA
generalized skin crust,NA,dermal,nonclinical,NA,NA,4
genital discharge,NA,no category,nonclinical,NA,NA,16
ggt >300 u/l,NA,hepatic,clinical,NA,1,NA
ggt >300 u/l (high),NA,hepatic,clinical,NA,NA,NA
ggt elevation,NA,hepatic,clinical,1,NA,NA
ggt increased,NA,hepatic,clinical,NA,NA,NA
gi discomfort,incidental,gastrointestinal,clinical,1,NA,NA
gi signs and symptoms,NA,gastrointestinal,clinical,1,NA,NA
giardiasis,incidental,no category,clinical,NA,NA,NA
gingival bleeding,NA,dermal,nonclinical,NA,NA,1
gingivitis,incidental,gastrointestinal,clinical,1,NA,NA
glomerular deposits,NA,renal,nonclinical,NA,NA,3
glomerular parietal epithelial cell hypertrophy,NA,renal,nonclinical,NA,NA,1
glomerulonephritis,NA,renal,nonclinical,NA,NA,4
glomerulopathy,NA,renal,nonclinical,NA,NA,3
glomerulosclerosis,NA,renal,nonclinical,NA,NA,1
glucose abnormal,NA,metabolic,clinical,1,NA,NA
glucose decrease,NA,metabolic,clinical,1,NA,NA
glucose decreased,NA,metabolic,clinical,NA,1,NA
glucose increase,NA,metabolic,clinical,4,NA,NA
glucose increased,NA,metabolic,clinical,NA,1,NA
glucose�(fasting) increased,NA,metabolic,clinical,NA,NA,NA
glutamate dehydrogenase increased,NA,metabolic,nonclinical,NA,NA,6
gonad weight decrease,NA,reproductive,nonclinical,NA,NA,6
gonad weight increase,NA,reproductive,nonclinical,NA,NA,7
grade 1 alkaline phosphatase,NA,hepatic,clinical,1,NA,NA
grade 3 or higher adverse reactions,NA,no category,clinical,NA,1,NA
granular casts,NA,no category,nonclinical,NA,NA,1
granular kidney,NA,renal,nonclinical,NA,NA,9
granulomatous inflammation,NA,no category,nonclinical,NA,NA,4
greater than upper limit of normal amylase/lipase elevation,NA,gastrointestinal,clinical,NA,NA,NA
greater than upper limit of normal cpk elevation,NA,musculoskeletal,clinical,NA,NA,NA
greater than upper limit of normal creatinine elevation,NA,renal,clinical,NA,NA,NA
greater than upper limit of normal fasting triglyceride level,NA,metabolic,clinical,NA,NA,NA
grooming behavior,NA,nervous,nonclinical,NA,NA,6
gut-associated lymphoid tissue,NA,hematologic,nonclinical,NA,NA,3
gynecomastia,NA,reproductive,clinical,NA,1,NA
gynecomastia **,NA,reproductive,clinical,NA,NA,NA
haematology,NA,hematologic,clinical,NA,1,NA
haematoma,incidental,no category,clinical,1,NA,NA
haemoglobin abnormality,NA,hematologic,clinical,1,NA,NA
hair color change,NA,dermal,clinical,1,NA,NA
hair color changes,NA,dermal,clinical,NA,1,NA
hair discoloration,NA,dermal,nonclinical,NA,NA,4
hair follicle degeneration,NA,dermal,nonclinical,NA,NA,2
hallucination,NA,nervous,clinical,1,NA,NA
hallucinations,NA,nervous,clinical,NA,NA,NA
hand-foot skin reaction,incidental,dermal,clinical,1,1,NA
handwriting change,NA,nervous,clinical,1,NA,NA
harderian gland discoloration,NA,ocular,nonclinical,NA,NA,9
hdl,NA,metabolic,clinical,1,NA,NA
hdl cholesterol increase,NA,metabolic,clinical,2,NA,NA
head injury,incidental,no category,clinical,NA,NA,NA
head tremor,NA,no category,nonclinical,NA,NA,3
headache,incidental,nervous,clinical,64,23,NA
headache (a),incidental,nervous,clinical,NA,NA,NA
"headache,",incidental,nervous,clinical,1,NA,NA
headache/migraine,incidental,nervous,clinical,NA,1,NA
headaches,incidental,nervous,clinical,2,NA,NA
hearing decreased,NA,otic,clinical,NA,NA,NA
hearing impairment,NA,no category,nonclinical,NA,NA,2
heart discoloration,NA,cardiovascular,nonclinical,NA,NA,6
heart hypoplasia,NA,cardiovascular,nonclinical,NA,NA,2
heart inflammation,NA,cardiovascular,nonclinical,NA,NA,25
heart rate,NA,cardiovascular,clinical,1,NA,NA
heart rate decrease,NA,cardiovascular,clinical,1,NA,NA
heart rate increase,NA,cardiovascular,clinical,2,NA,NA
heart rate increased,NA,cardiovascular,clinical,NA,NA,NA
hemangiosarcoma,NA,no category,nonclinical,NA,NA,1
hematocrit,NA,hematologic,clinical,2,NA,NA
hematocrit decrease,NA,hematologic,clinical,3,NA,NA
hematological toxicity,NA,hematologic,clinical,NA,2,NA
hematopoiesis decreased / cytopenias,NA,hematologic,clinical,1,NA,NA
hematuria,NA,renal,clinical,NA,NA,15
hematuria,NA,renal,nonclinical,NA,NA,15
hemoglobin,NA,hematologic,clinical,3,NA,NA
hemoglobin decrease,NA,hematologic,clinical,13,2,NA
hemoglobin increase,NA,hematologic,clinical,1,NA,NA
hemoglobin low,NA,hematologic,nonclinical,NA,NA,2
hemoglobinuria,NA,hematologic,nonclinical,NA,NA,1
hemorrhage,NA,no category,clinical,3,1,11
hemorrhage,NA,no category,nonclinical,3,1,11
hemorrhage b,NA,no category,clinical,NA,1,NA
hemorrhage in optic nerve sheaths,NA,ocular,nonclinical,NA,NA,1
hemorrhoids,incidental,no category,clinical,NA,1,NA
hemosiderosis,NA,hematologic,nonclinical,NA,NA,20
hepatic disorders,NA,hepatic,clinical,2,NA,NA
hepatic granulomatosis,NA,hepatic,nonclinical,NA,NA,1
hepatic steatosis,NA,hepatic,nonclinical,NA,NA,27
hepatitis,NA,hepatic,nonclinical,NA,NA,2
hepatobiliary disorders,NA,hepatic,clinical,1,NA,NA
hepatocellular vacuolation,NA,hepatic,nonclinical,NA,NA,78
hepatomegaly,NA,hepatic,nonclinical,NA,NA,6
hepatotoxicity,NA,hepatic,clinical,NA,8,NA
herpes infection,incidental,no category,clinical,NA,NA,NA
herpes simplex infection,incidental,no category,clinical,2,NA,NA
herpes zoster,incidental,no category,clinical,NA,1,NA
herpes zoster (f),incidental,no category,clinical,NA,NA,NA
hfsr/ppe,NA,hematologic,clinical,NA,2,NA
high cholesterol,NA,metabolic,clinical,1,NA,NA
high diastolic blood pressure,NA,cardiovascular,clinical,2,NA,NA
high systolic blood pressure,NA,cardiovascular,clinical,2,NA,NA
high-stepping gait,NA,no category,nonclinical,NA,NA,3
hindlimb paresis,NA,no category,nonclinical,NA,NA,4
histiocytic inflammatory cell infiltrate,NA,no category,nonclinical,NA,NA,1
histiocytosis,NA,hematologic,nonclinical,NA,NA,36
hospitalizations for heart failure,NA,cardiovascular,clinical,NA,1,NA
hostility,NA,nervous,clinical,NA,NA,NA
hot flashes,incidental,cardiovascular,clinical,2,2,NA
hot flush,incidental,cardiovascular,clinical,3,1,NA
hot flush,incidental,cardiovascular,clinical,3,1,NA
hot flushes,incidental,cardiovascular,clinical,1,NA,NA
hot flushes,incidental,cardiovascular,clinical,1,NA,NA
hunched posture,NA,no category,nonclinical,NA,NA,98
hyaline casts,NA,renal,nonclinical,NA,NA,8
hydrometra,NA,reproductive,nonclinical,NA,NA,4
hydronephrosis,NA,renal,nonclinical,NA,NA,5
hyperactivity,NA,nervous,nonclinical,NA,NA,24
hypercalcemia,NA,metabolic,clinical,1,NA,NA
hypercholesteremia,NA,metabolic,clinical,1,NA,NA
hypercholesterolemia,NA,metabolic,clinical,4,NA,NA
hyperglycemia,NA,metabolic,clinical,3,1,NA
"hyperglycemia,",NA,metabolic,clinical,1,NA,NA
hyperhidrosis,NA,dermal,clinical,1,6,NA
hyperhydrosis,NA,dermal,clinical,NA,NA,NA
hyperkalaemia,NA,metabolic,clinical,NA,1,NA
hyperkalemia,NA,metabolic,clinical,6,1,NA
hyperkalemia †††,NA,metabolic,clinical,NA,2,NA
hyperkeratosis,NA,dermal,clinical,1,1,29
hyperkeratosis,NA,dermal,nonclinical,1,1,29
hyperkinesia,NA,cardiovascular,clinical,NA,NA,NA
hyperlipemia,NA,metabolic,clinical,2,NA,NA
hyperlipidemia,NA,metabolic,clinical,1,NA,NA
hypermagnesemia,NA,metabolic,clinical,NA,1,NA
hypernatremia,NA,metabolic,clinical,1,1,NA
hyperplasia,NA,no category,nonclinical,NA,NA,29
hyperplasia of kidney,NA,renal,nonclinical,NA,NA,6
hyperplasia of the leydig cells,NA,reproductive,nonclinical,NA,NA,8
hyperplastic,NA,no category,nonclinical,NA,NA,19
hyperreflexia,NA,nervous,nonclinical,NA,NA,3
hyperresponsive to tactile stimuli,NA,nervous,nonclinical,NA,NA,15
hypersensitivity,incidental,no category,clinical,1,NA,1
hypersomnia,NA,nervous,clinical,NA,2,NA
hypertension,NA,cardiovascular,clinical,16,15,NA
hypertension (a),NA,cardiovascular,clinical,NA,NA,NA
hypertension (j),NA,cardiovascular,clinical,NA,NA,NA
hypertension/hypertensive crisis/accelerated hypertension,NA,cardiovascular,clinical,NA,2,NA
hypertension nos,NA,cardiovascular,clinical,NA,NA,NA
hypertrichosis,NA,dermal,clinical,1,NA,NA
hypertriglyceridemia,NA,metabolic,clinical,1,NA,NA
hypertrigylceridemia,NA,metabolic,clinical,1,NA,NA
hypertrophic,NA,no category,nonclinical,NA,NA,35
"hypertrophy, acinar cell",NA,endocrine,nonclinical,NA,NA,5
"hypertrophy, follicular cell",NA,no category,nonclinical,NA,NA,17
"hypertrophy, hepatocyte",NA,hepatic,nonclinical,NA,NA,124
hyperventilation,NA,no category,nonclinical,NA,NA,1
hypesthesia,NA,nervous,clinical,1,NA,NA
hypoactivity,NA,nervous,nonclinical,NA,NA,162
hypoaesthesia,NA,nervous,clinical,NA,NA,NA
hypoaesthesia oral,NA,gastrointestinal,clinical,1,NA,NA
hypoalbuminemia,NA,metabolic,clinical,3,NA,NA
hypoatremia,NA,metabolic,clinical,1,NA,NA
hypocalcaemia,NA,metabolic,clinical,1,NA,NA
hypocalcemia,NA,metabolic,clinical,4,3,NA
hypochloriduria,NA,no category,nonclinical,NA,NA,1
hypoglycemia,NA,metabolic,clinical,9,3,NA
hypokalemia,NA,metabolic,clinical,5,2,NA
hypomagnesemia,NA,metabolic,clinical,2,NA,NA
hyponatremia,NA,metabolic,clinical,2,2,NA
hypophosphataemia,NA,hematologic,clinical,1,NA,NA
hypophosphatemia,NA,hematologic,clinical,5,2,NA
hypopnea,NA,no category,nonclinical,NA,NA,1
hyporeflexia,NA,nervous,clinical,NA,NA,NA
hypotension,NA,cardiovascular,clinical,5,3,NA
hypotension ��,NA,cardiovascular,clinical,NA,NA,NA
hypotension leading to drug discontinuation,NA,cardiovascular,clinical,NA,1,NA
hypothyroidism,NA,endocrine,clinical,NA,NA,NA
hypotonia,NA,nervous,nonclinical,NA,NA,11
ileum discoloration,NA,gastrointestinal,nonclinical,NA,NA,2
ileum hypertrophy,NA,gastrointestinal,nonclinical,NA,NA,1
ileum inflammation,NA,gastrointestinal,nonclinical,NA,NA,2
immune system toxicity,NA,immune,clinical,NA,1,NA
impaired balance,NA,nervous,nonclinical,NA,NA,1
impaired concentration,NA,nervous,clinical,NA,NA,NA
impaired hematopoiesis,NA,hematologic,nonclinical,NA,NA,1
impaired righting response,NA,nervous,nonclinical,NA,NA,7
impotence,NA,reproductive,clinical,5,1,NA
impotence (reproductive male,NA,reproductive,clinical,NA,NA,NA
impotence (3),NA,reproductive,clinical,NA,1,NA
"including rashes (generalized, macular, maculo-papular, erythematous), pruritus, eczema, dermatitis, dermatitis allergic",NA,dermal,clinical,NA,NA,NA
"including rashes, pruritus, eczema, dermatitis, dermatitis allergic",NA,dermal,clinical,NA,1,NA
incomplete eyelid closure,NA,no category,nonclinical,NA,NA,4
incontinence,NA,renal,clinical,1,NA,NA
incoordination,NA,nervous,clinical,NA,NA,NA
increase alkaline phosphatase,NA,hepatic,clinical,1,NA,NA
increase blood pressure,NA,cardiovascular,clinical,3,NA,NA
increase cholesterol,NA,metabolic,clinical,2,NA,NA
increase in albumin,NA,metabolic,clinical,1,NA,NA
increase in creatine,NA,musculoskeletal,clinical,1,NA,NA
increase in creatinine,NA,renal,clinical,1,NA,NA
increase in eosinophil count,NA,hematologic,clinical,1,NA,NA
increase in mean corpuscular volume,NA,hematologic,clinical,NA,2,NA
increase in mean corpuscular volume (b),NA,hematologic,clinical,NA,NA,NA
increase in parathyroid hormone,NA,endocrine,clinical,2,NA,NA
increase in serum creatinine,NA,renal,clinical,NA,2,NA
